127.0.0.1, 2016-04-04 23:07:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.225760
127.0.0.1, 2016-04-04 23:07:14, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.391458
127.0.0.1, 2016-04-04 23:07:17, GET, /init/appadmin/select/db, HTTP/1.1, 200, 0.117956
127.0.0.1, 2016-04-04 23:07:41, GET, /admin/default/edit/init/controllers/default.py, HTTP/1.1, 200, 0.112251
127.0.0.1, 2016-04-04 23:07:41, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.023272
127.0.0.1, 2016-04-04 23:08:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106563
127.0.0.1, 2016-04-04 23:08:15, GET, /init/appadmin/hooks, HTTP/1.1, 200, 1.487913
127.0.0.1, 2016-04-04 23:08:32, POST, /admin/default/edit/init/controllers/default.py, HTTP/1.1, 200, 0.181998
127.0.0.1, 2016-04-04 23:08:43, POST, /admin/default/edit/init/controllers/default.py, HTTP/1.1, 200, 0.050049
127.0.0.1, 2016-04-04 23:08:51, GET, /RT/default/api/entries.json, HTTP/1.1, 404, 0.000800
127.0.0.1, 2016-04-04 23:09:12, GET, /init/default/api/entries.json, HTTP/1.1, 200, 0.046574
127.0.0.1, 2016-04-04 23:09:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000500
127.0.0.1, 2016-04-04 23:09:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2016-04-04 23:09:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.050052
127.0.0.1, 2016-04-04 23:09:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.203046
127.0.0.1, 2016-04-04 23:09:57, GET, /init/default/api/f_entry='oi', HTTP/1.1, 400, 0.040588
127.0.0.1, 2016-04-04 23:10:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.065332
127.0.0.1, 2016-04-04 23:10:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.197799
127.0.0.1, 2016-04-04 23:10:47, GET, /init/default/api/entries.json, HTTP/1.1, 200, 0.045363
127.0.0.1, 2016-04-04 23:11:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.048517
127.0.0.1, 2016-04-04 23:11:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.186646
127.0.0.1, 2016-04-04 23:12:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.052476
127.0.0.1, 2016-04-04 23:12:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.182518
127.0.0.1, 2016-04-04 23:13:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.061842
127.0.0.1, 2016-04-04 23:13:13, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.215883
127.0.0.1, 2016-04-04 23:14:13, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.056701
